GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Exercice10,com.exemple,CommandeRefuseeException,0,4,0,0,0,2,0,1,0,1
Exercice10,com.exemple,Commande,0,80,0,2,0,17,0,7,0,6
Exercice10,com.exemple,ConfirmationCommande,0,9,0,0,0,1,0,1,0,1
Exercice10,com.exemple,Utilisateur,0,12,0,0,0,1,0,1,0,1
Exercice10,com.exemple,ServiceCompte,0,32,0,2,0,9,0,3,0,2
Exercice10,com.exemple,ServiceCatalogue,0,21,0,0,0,6,0,4,0,4
Exercice10,com.exemple,ServiceCommande,0,60,0,2,0,13,0,7,0,6
Exercice10,com.exemple,CompteExistantException,0,4,0,0,0,2,0,1,0,1
Exercice10,com.exemple,ResultatConnexion,0,9,0,0,0,1,0,1,0,1
Exercice10,com.exemple,Produit,0,15,0,0,0,1,0,1,0,1
Exercice10,com.exemple,ServiceAuthentification,0,35,0,2,0,8,0,4,0,3
Exercice10,com.exemple,ConnexionRefuseeException,0,4,0,0,0,2,0,1,0,1
Exercice10,com.exemple,ConfirmationInscription,0,9,0,0,0,1,0,1,0,1
